"CODIGO1","CODIGO2","CODINT1","CODINT2","COMENTARIO","VALORCOMENTARIO","FECHA","TIPO_ACTUALIZACION"
"14501","0899","CB14501","B0899","Extracción de feldespato.","","",""
"14501","0990","CB14501","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14502","0899","CB14502","B0899","Extracción de minerales y materiales diversos: materias abrasivas, amianto, harinas fósiles de silicio, grafito natural, esteatita(talco).
Extración de piedras preciosas y semipreciosas, cuarzo, mica.
Extracción de asfalto y betún natural.","","",""
"14502","0990","CB14502","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"15110","1011","DA15110","C1011","Explotación de mataderos. 
Producción de carne fresca, refrigerada o congelada en canal o trozos.
Obtención de manteca de cerdo y otras grasas comestibles de origen animal.
Tratamiento de despojos de animales.
Producción de lana regenerada.","","",""
"15120","1012","DA15120","C1012","Explotación de mataderos de aves.
Preparación de carne fresca, refrigerada,congelada de aves en porciones.
Extracción de grasas comestibles.
Producción de carne fresca, refrigerada o congelada en canal o en trozos.
Extracción de grasas comestibles de aves.","","",""
"15130","1013","DA15130","C1013","Producción de carne seca, salada o ahumada.
Fabricación de productos cárnicos: embutidos, salchichas, etc.
Fabricación de extractos y jugos de carne.","","",""
"15130","1085","DA15130","C1085","Elaboracion de platos preparados incluso congelados a base de carne.","","",""
"15201","1021","DA15201","C1021","Preparación y conservación de pescados, crustáceos y moluscos  congelados y ultracongelados.
Las actividades de barcos factoría dedicados exclusivamente a la elaboración y conservación de pescado.","","",""
"15201","1085","DA15201","C1085","Platos precocinados a base de pescado congelados.","","",""
"15202","1022","DA15202","C1022","Preparación y conservación  de pescados, crustáceos y moluscos en salazón, secado, salmuera.
Producción de productos derivados de pescado como huevas, caviar. 
Productos de pescado aptos para humanos u animales.
Harinas de pescado.","","",""
"15202","1085","DA15202","C1085","Platos precocinados a base de pescado conservados de cualquier forma menos congelados.","","",""
"15203","1021","DA15203","C1021","Producción de ahumados de pescado.
Barcos factoría dedicados a la elaboración y conservación de pescado de forma ahumada.","","",""
"15203","1085","DA15203","C1085","Platos precocinados a base de pescado conservados de forma ahumada.","","",""
"15310","1031","DA15310","C1031","","","",""
"15321","1032","DA15321","C1032","Fabricación de jugo de uva.","","",""
"15322","1032","DA15322","C1032","Fabicación de jugos y concentrados de frutas y hortalizas distintos de uva.","","",""
"15331","1039","DA15331","C1039","Conservación de hortalizas y legumbres en congelación.
Fabricación de productos alimenticios a base de legumbres y hortalizas, congelados.","","",""
"15331","1085","DA15331","C1085","Elaboración de platos precocinados a base de legumbres y hortalizas congeladas.","","",""
"15332","1039","DA15332","C1039","Conservación de legumbres y hortalizas en aceite, secado, enlatado.
Preparación de productos a base de hortalizas, legumbres.
Productos alimenticios a base de legumbres y hortalizas no congeladas.","","",""
"15332","1085","DA15332","C1085","Platos precocinados a base de legumbres y hortalizas no congeladas.","","",""
"15333","1039","DA15333","C1039","Deshuesado de aceitunas.","","",""
"15334","1039","DA15334","C1039","Conservación de frutas, congeladas, secadas o enlatadas.
Fabricación de productos alimenticios a base de fruta.
Fabricación de mermeladas y jaleas de frutas.
Preparación de frutos secos, tostados, etc.","","",""
"15411","1043","DA15411","C1043","Aceite de oliva sin refinar.","","",""
"15412","1044","DA15412","C1044","Fabricación de harinas o sémolas no desgrasadas a partir de semillas, frutos secos o pepitas oleaginosas. 
Fabricación de aceites vegetales sin refinar (no de oliva):soja, palma, girasol, colza,semillas de algodón, etc.","","",""
"15413","1044","DA15413","C1044","Fabricación de aceites y grasas animales no comestibles.
Obtención de aceites de pescado y de mamiferos marinos.","","",""
"15420","1043","DA15420","C1043","Fabricación de aceite de oliva refinado.
Procesado de aceite de oliva soplado, cocido, deshidratación,hidrogenación.
Obtención de residuos del aceite de oliva.","","",""
"15420","1044","DA15420","C1044","Fabricación de aceites vegetales (no de oliva) refinados: soja,etc.
Procesado de aceites vegetales soplado, cocido, deshidratación, hidrogenación.
Obtención de residuos del aceite: borras de algodón, tortas de aceite.","","",""
"15430","1042","DA15430","C1042","","","",""
"15511","1054","DA15511","C1054","Producción de leche líquida fresca, pasteurizada, esterilizada.
Producción de nata a partir de leche líquida.
Producción de mantequilla.
Elaboración de leche en polvo o concentrada.
Producción de caseína y lactosa.
Producción de bebidas refrescantes a base de leche.
Producción de yoghourt.","","",""
"15512","1053","DA15512","C1053","Fabricación de queso y cuajada.","","",""
"15520","1052","DA15520","C1052","","","",""
"15611","1061","DA15611","C1061","Molienda de trigo: producción de harinas, grañones, sémolas o aglomerados de trigo.","","",""
"15612","1061","DA15612","C1061","Molienda de cereales distintos de trigo: arroz,harinas, grañones, sémolas o aglomerados centeno, avena, maíz y otros granos de cereales
Molienda de arroz, producción de arroz descascarillado, pulido, etc.
Elaboración de harina de arroz.","","",""
"15613","1061","DA15613","C1061","Molienda de productos de origen vegetal.
Producción de harinas o sémolas de leguminosas de grano seco, de raíces o tubérculos o de frutos secos comestibles. 
Productos a  base de cereales
Mezclas de harina y masas preparadas para panadería y pastelería.","","",""
"15620","1062","DA15620","C1062","","","",""
"15710","1091","DA15710","C1091","Fabricación de productos para alimentacion de animales en granja incluidos los suplementos de alimentación para animales.
Preparación de productos sin mezclar para animales de granja.","","",""
"15720","1092","DA15720","C1092","","","",""
"15811","1071","DA15811","C1071","Fabricación de productos frescos de panadería incluso congelados.","","",""
"15812","1071","DA15812","C1071","Fabricación de productos de corta duracción de pastelería: pastas, tortas, tartas, pasteles, etc.","","",""
"15821","1072","DA15821","C1072","Fabricación de galletas.","","",""
"15822","1072","DA15822","C1072","Fabricación de biscotes y de otros productos secos de panadería.
Fabricación de productos de repostería con conservante.
Producción de aperitivos dulces o salados.","","",""
"15830","1081","DA15830","C1081","Producción y refinado de azucar y sucedáneos del azucar obtenidos a partir del jarabe de caña, remolacha, arce, palma.","","",""
"15841","1082","DA15841","C1082","Elaboración de cacao, manteca de cacao, grasa de cacao, aceite de cacao.
Elaboración de chocolate y productos de chocolate.","","",""
"15842","1082","DA15842","C1082","Elaboración de productos de confiteria: turrón, dulces.
Elaboración de goma de mascar
La conservación en azucar de frutas, frutos secos, etc
Producción de caramelos.","","",""
"15850","1073","DA15850","C1073","Fabricación de pastas alimenticias: cocidas y sin cocer, rellenas o sin rellenar.
Fabricación de cuscus.","","",""
"15860","1083","DA15860","C1083","","","",""
"15870","1084","DA15870","C1084","","","",""
"15881","1086","DA15881","C1086","Alimentos preparados infantiles.
Leche para bebes y otros alimentos de crecimiento.","","",""
